exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
1,1,5,30,34,1000,0,1000000
2,1,5,30,34,1000,0,1000000
3,1,5,30,34,1000,0,1000000
4,1,10,30,34,1000,0,1000000
5,1,10,30,34,1000,0,1000000
6,1,10,30,34,1000,0,1000000
7,1,15,30,34,1000,0,1000000
8,1,15,30,34,1000,0,1000000
9,1,15,30,34,1000,0,1000000
10,1,20,30,34,1000,0,1000000
11,1,20,30,34,1000,0,1000000
12,1,20,30,34,1000,0,1000000
13,1,25,30,34,1000,0,1000000
14,1,25,30,34,1000,0,1000000
15,1,25,30,34,1000,0,1000000
16,1,30,30,34,1000,0,1000000
17,1,30,30,34,1000,0,1000000
18,1,30,30,34,1000,0,1000000
19,1,35,30,34,1000,0,1000000
20,1,35,30,34,1000,0,1000000
21,1,35,30,34,1000,0,1000000
22,1,40,30,34,1000,0,1000000
23,1,40,30,34,1000,0,1000000
24,1,40,30,34,1000,0,1000000
25,1,45,30,34,1000,0,1000000
26,1,45,30,34,1000,0,1000000
27,1,45,30,34,1000,0,1000000
28,1,50,30,34,1000,0,1000000
29,1,50,30,34,1000,0,1000000
30,1,50,30,34,1000,0,1000000
31,1,55,30,34,1000,0,1000000
32,1,55,30,34,1000,0,1000000
33,1,55,30,34,1000,0,1000000
34,1,60,30,34,1000,0,1000000
35,1,60,30,34,1000,0,1000000
36,1,60,30,34,1000,0,1000000
37,1,65,30,34,1000,0,1000000
38,1,65,30,34,1000,0,1000000
39,1,65,30,34,1000,0,1000000
40,1,70,30,34,1000,0,1000000
41,1,70,30,34,1000,0,1000000
42,1,70,30,34,1000,0,1000000
43,1,75,30,34,1000,0,1000000
44,1,75,30,34,1000,0,1000000
45,1,75,30,34,1000,0,1000000
46,1,80,30,34,1000,0,1000000
47,1,80,30,34,1000,0,1000000
48,1,80,30,34,1000,0,1000000
49,1,85,30,34,1000,0,1000000
50,1,85,30,34,1000,0,1000000
51,1,85,30,34,1000,0,1000000
52,1,90,30,34,1000,0,1000000
53,1,90,30,34,1000,0,1000000
54,1,90,30,34,1000,0,1000000
55,1,95,30,34,1000,0,1000000
56,1,95,30,34,1000,0,1000000
57,1,95,30,34,1000,0,1000000
58,1,100,30,34,1000,0,1000000
59,1,100,30,34,1000,0,1000000
60,1,100,30,34,1000,0,1000000
61,1,105,30,34,1000,0,1000000
62,1,105,30,34,1000,0,1000000
63,1,105,30,34,1000,0,1000000
64,1,110,30,34,1000,0,1000000
65,1,110,30,34,1000,0,1000000
66,1,110,30,34,1000,0,1000000
67,1,115,30,34,1000,0,1000000
68,1,115,30,34,1000,0,1000000
69,1,115,30,34,1000,0,1000000
70,1,120,30,34,1000,0,1000000
71,1,120,30,34,1000,0,1000000
72,1,120,30,34,1000,0,1000000
73,1,125,30,34,1000,0,1000000
74,1,125,30,34,1000,0,1000000
75,1,125,30,34,1000,0,1000000
76,1,130,30,34,1000,0,1000000
77,1,130,30,34,1000,0,1000000
78,1,130,30,34,1000,0,1000000
79,1,135,30,34,1000,0,1000000
80,1,135,30,34,1000,0,1000000
81,1,135,30,34,1000,0,1000000
82,1,140,30,34,1000,0,1000000
83,1,140,30,34,1000,0,1000000
84,1,140,30,34,1000,0,1000000
85,1,145,30,34,1000,0,1000000
86,1,145,30,34,1000,0,1000000
87,1,145,30,34,1000,0,1000000
88,1,150,30,34,1000,0,1000000
89,1,150,30,34,1000,0,1000000
90,1,150,30,34,1000,0,1000000
91,1,155,30,34,1000,0,1000000
92,1,155,30,34,1000,0,1000000
93,1,155,30,34,1000,0,1000000
94,1,160,30,34,1000,0,1000000
95,1,160,30,34,1000,0,1000000
96,1,160,30,34,1000,0,1000000
97,1,165,30,34,1000,0,1000000
98,1,165,30,34,1000,0,1000000
99,1,165,30,34,1000,0,1000000
100,1,170,30,34,1000,0,1000000
101,1,170,30,34,1000,0,1000000
102,1,170,30,34,1000,0,1000000
103,1,175,30,34,1000,0,1000000
104,1,175,30,34,1000,0,1000000
105,1,175,30,34,1000,0,1000000
106,1,180,30,34,1000,0,1000000
107,1,180,30,34,1000,0,1000000
108,1,180,30,34,1000,0,1000000
109,1,185,30,34,1000,0,1000000
110,1,185,30,34,1000,0,1000000
111,1,185,30,34,1000,0,1000000
112,1,190,30,34,1000,0,1000000
113,1,190,30,34,1000,0,1000000
114,1,190,30,34,1000,0,1000000
115,1,195,30,34,1000,0,1000000
116,1,195,30,34,1000,0,1000000
117,1,195,30,34,1000,0,1000000
118,1,200,30,34,1000,0,1000000
119,1,200,30,34,1000,0,1000000
120,1,200,30,34,1000,0,1000000
